Route (r),Time Block (t),Route type,"Old ridership (x_old,r,t)",Trip length km (L_r),"Average length hr (T_r,t)","Old frequency of buses (f_old,r,t)","Old number of buses (n_old,r,t) - continuous","Old number of buses (n_old,r,t) - discrete","Time block hr (H_block,t)",Driver horuly wage rate $/hr (W_driver),Price of fuel $/litre (P_fuel),Fuel consumption (FC),Maintenace cost $/km (P_maintenance),Passenger hourly wage rate $/hr (W_passenger),VTTS fraction of passenger wage (F_wage),"Emission intensity of a car kgCO2eq/KPT (I_GHG,car)",Average Length of passenger trip (L_avg_trip),Social cost of carbon $/tonne CO2eq (SCC)," Vehicle-miles saved per 1 km  of passenger km travelled (V_km,saved)",,
12,Early AM,Frequent,156,17.3,0.554,1.771,0.981134,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.46,0.275,5.8,,
12,AM Peak,Frequent,867,17.3,0.894,5.2,4.6488,5,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.46,0.275,5.8,,
12,Midday,Frequent,1903,17.3,0.925,4.984,4.6102,5,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.46,0.275,5.8,,
12,PM Peak,Frequent,1105,17.3,1.011,6.057,6.123627,7,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.46,0.275,5.8,,
12,Evening,Frequent,496,17.3,0.694,4.133,2.868302,3,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.46,0.275,5.8,,
12,Night,Frequent,221,17.3,0.502,1.65,0.8283,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.46,0.275,5.8,,
14,Early AM,Frequent,119,13.7,0.709,0.857,0.607613,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.74,0.275,5.8,,
14,AM Peak,Frequent,1323,13.7,0.882,5.6,4.9392,5,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.74,0.275,5.8,,
14,Midday,Frequent,2942,13.7,0.893,4.45,3.97385,4,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.74,0.275,5.8,,
14,PM Peak,Frequent,1893,13.7,0.95,5,4.75,5,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.74,0.275,5.8,,
14,Evening,Frequent,743,13.7,0.759,2.156,1.636404,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.74,0.275,5.8,,
14,Night,Frequent,344,13.7,0.598,0.825,0.49335,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.74,0.275,5.8,,
15,Early AM,Local,244,10.6,0.517,0.571,0.295207,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.12,0.275,5.8,,
15,AM Peak,Local,1798,10.6,0.596,3.68,2.19328,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.12,0.275,5.8,,
15,Midday,Local,2632,10.6,0.554,0.417,0.231018,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.12,0.275,5.8,,
15,PM Peak,Local,2650,10.6,0.671,4.4,2.9524,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.12,0.275,5.8,,
15,Evening,Local,902,10.6,0.583,0.222,0.129426,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.12,0.275,5.8,,
15,Night,Local,461,10.6,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.12,0.275,5.8,,
16,Early AM,Cancelled ,9,,,,,,,,,,,,,,,,,,
16,AM Peak,Cancelled ,308,,,,,,,,,,,,,,,,,,
16,Midday,Cancelled ,682,,,,,,,,,,,,,,,,,,
16,PM Peak,Cancelled ,293,,,,,,,,,,,,,,,,,,
16,Evening,Cancelled ,157,,,,,,,,,,,,,,,,,,
16,Night,Cancelled ,50,,,,,,,,,,,,,,,,,,
18,Early AM,Local,35,14.1,0.571,0.714,0.407694,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.82,0.275,5.8,,
18,AM Peak,Local,213,14.1,0.722,2.96,2.13712,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.82,0.275,5.8,,
18,Midday,Local,427,14.1,0.762,2.483,1.892046,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.82,0.275,5.8,,
18,PM Peak,Local,348,14.1,0.87,2.572,2.23764,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.82,0.275,5.8,,
18,Evening,Local,185,14.1,0.682,2.222,1.515404,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.82,0.275,5.8,,
18,Night,Local,86,14.1,0.613,0.425,0.260525,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.82,0.275,5.8,,
19,Early AM,Local,40,16.6,0.503,0.571,0.287213,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.32,0.275,5.8,,
19,AM Peak,Local,416,16.6,0.717,3.08,2.20836,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.32,0.275,5.8,,
19,Midday,Local,854,16.6,0.837,2.417,2.023029,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.32,0.275,5.8,,
19,PM Peak,Local,586,16.6,0.891,2.514,2.239974,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.32,0.275,5.8,,
19,Evening,Local,317,16.6,0.698,2.089,1.458122,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.32,0.275,5.8,,
