Route (r),Time Block (t),Route type,"Old ridership (x_old,r,t)",Trip length km (L_r),"Average length hr (T_r,t)","Old frequency of buses (f_old,r,t)","Old number of buses (n_old,r,t) - continuous","Old number of buses (n_old,r,t) - discrete","Time block hr (H_block,t)",Driver horuly wage rate $/hr (W_driver),Price of fuel $/litre (P_fuel),Fuel consumption (FC),Maintenace cost $/km (P_maintenance),Passenger hourly wage rate $/hr (W_passenger),VTTS fraction of passenger wage (F_wage),"Emission intensity of a car kgCO2eq/KPT (I_GHG,car)",Average Length of passenger trip (L_avg_trip),Social cost of carbon $/tonne CO2eq (SCC)," Vehicle-miles saved per 1 km  of passenger km travelled (V_km,saved)",,
39,PM Peak,Frequent ,714,31.3,0.532,6.4,3.4048,4,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.26,0.275,5.8,,
39,Evening,Frequent ,180,31.3,0.448,4.133,1.851584,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.26,0.275,5.8,,
39,Night,Frequent ,116,31.3,0.641,2.425,1.554425,2,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.26,0.275,5.8,,
40,Early AM,Frequent ,94,16.5,0.413,1.771,0.731423,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.3,0.275,5.8,,
40,AM Peak,Frequent ,680,16.5,0.535,4.8,2.568,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.3,0.275,5.8,,
40,Midday,Frequent ,1098,16.5,0.437,4.4,1.9228,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.3,0.275,5.8,,
40,PM Peak,Frequent ,779,16.5,0.61,5.572,3.39892,4,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.3,0.275,5.8,,
40,Evening,Frequent ,278,16.5,0.629,2.4,1.5096,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.3,0.275,5.8,,
40,Night,Frequent ,143,16.5,0.548,1,0.548,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.3,0.275,5.8,,
42,Early AM,Local,41,12.8,0.383,0.429,0.164307,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.56,0.275,5.8,,
42,AM Peak,Local,267,12.8,0.424,3.2,1.3568,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.56,0.275,5.8,,
42,Midday,Local,333,12.8,0.422,2.4,1.0128,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.56,0.275,5.8,,
42,PM Peak,Local,364,12.8,0.448,3.057,1.369536,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.56,0.275,5.8,,
42,Evening,Local,121,12.8,0.381,1.444,0.550164,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.56,0.275,5.8,,
42,Night,Local,12,12.8,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.56,0.275,5.8,,
44,Early AM,Frequent ,105,12.8,0.434,1.172,0.508648,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.56,0.275,5.8,,
44,AM Peak,Frequent ,725,12.8,0.538,4.48,2.41024,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.56,0.275,5.8,,
44,Midday,Frequent ,1304,12.8,0.513,4.584,2.351592,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.56,0.275,5.8,,
44,PM Peak,Frequent ,924,12.8,0.582,5.686,3.309252,4,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.56,0.275,5.8,,
44,Evening,Frequent ,391,12.8,0.478,2.644,1.263832,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.56,0.275,5.8,,
44,Night,Frequent ,177,12.8,0.446,0.95,0.4237,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.56,0.275,5.8,,
45,Early AM,Frequent ,25,9.5,0.195,1.629,0.317655,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.9,0.275,5.8,,
45,AM Peak,Frequent ,278,9.5,0.138,4.92,0.67896,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.9,0.275,5.8,,
45,Midday,Frequent ,531,9.5,0.126,4.567,0.575442,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.9,0.275,5.8,,
45,PM Peak,Frequent ,321,9.5,0.134,5.686,0.761924,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.9,0.275,5.8,,
45,Evening,Frequent ,99,9.5,0.125,3.289,0.411125,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.9,0.275,5.8,,
45,Night,Frequent ,61,9.5,0.201,2.1,0.4221,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.9,0.275,5.8,,
46,Early AM,Cancelled ,153,,,,,,,,,,,,,,,,,,
46,AM Peak,Cancelled ,909,,,,,,,,,,,,,,,,,,
46,Midday,Cancelled ,1485,,,,,,,,,,,,,,,,,,
46,PM Peak,Cancelled ,993,,,,,,,,,,,,,,,,,,
46,Evening,Cancelled ,429,,,,,,,,,,,,,,,,,,
46,Night,Cancelled ,227,,,,,,,,,,,,,,,,,,
47,Early AM,Local,50,12.2,0.375,0.571,0.214125,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.44,0.275,5.8,,
47,AM Peak,Local,176,12.2,0.403,2.4,0.9672,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.44,0.275,5.8,,
47,Midday,Local,13,12.2,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.44,0.275,5.8,,
47,PM Peak,Local,146,12.2,0.457,3.2,1.4624,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.44,0.275,5.8,,
47,Evening,Local,0,12.2,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.44,0.275,5.8,,
47,Night,Local,0,12.2,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.44,0.275,5.8,,
48,Early AM,Local,23,17.9,0.584,1.429,0.834536,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.58,0.275,5.8,,
48,AM Peak,Local,444,17.9,0.865,5.32,4.6018,5,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.58,0.275,5.8,,
48,Midday,Local,530,17.9,0.849,2.567,2.179383,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.58,0.275,5.8,,
48,PM Peak,Local,546,17.9,0.944,5.228,4.935232,5,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.58,0.275,5.8,,
48,Evening,Local,142,17.9,0.754,2,1.508,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.58,0.275,5.8,,
48,Night,Local,38,17.9,0.561,0.3,0.1683,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.58,0.275,5.8,,
49,Early AM,Local,7,7.7,0.233,0.286,0.066638,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.54,0.275,5.8,,
49,AM Peak,Local,92,7.7,0.248,1.84,0.45632,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.54,0.275,5.8,,
49,Midday,Local,55,7.7,0.234,0.867,0.202878,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.54,0.275,5.8,,
49,PM Peak,Local,101,7.7,0.247,2.629,0.649363,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.54,0.275,5.8,,
49,Evening,Local,21,7.7,0.233,0.556,0.129548,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.54,0.275,5.8,,
49,Night,Local,6,7.7,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.54,0.275,5.8,,
50,Early AM,Cancelled ,16,,,,,,,,,,,,,,,,,,
50,AM Peak,Cancelled ,216,,,,,,,,,,,,,,,,,,
50,Midday,Cancelled ,248,,,,,,,,,,,,,,,,,,
50,PM Peak,Cancelled ,233,,,,,,,,,,,,,,,,,,
50,Evening,Cancelled ,71,,,,,,,,,,,,,,,,,,
50,Night,Cancelled ,0,,,,,,,,,,,,,,,,,,
51,Early AM,Local,33,16.0,0.65,0.286,0.1859,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.2,0.275,5.8,,
51,AM Peak,Local,521,16.0,0.735,2.4,1.764,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.2,0.275,5.8,,
51,Midday,Local,738,16.0,0.759,2.383,1.808697,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.2,0.275,5.8,,
51,PM Peak,Local,529,16.0,0.773,2.657,2.053861,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.2,0.275,5.8,,
51,Evening,Local,148,16.0,0.647,2.089,1.351583,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.2,0.275,5.8,,
51,Night,Local,56,16.0,0.617,0.25,0.15425,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.2,0.275,5.8,,
53,Early AM,Local,38,16.3,0.409,0.743,0.303887,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.26,0.275,5.8,,
53,AM Peak,Local,328,16.3,0.571,5.96,3.40316,4,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.26,0.275,5.8,,
53,Midday,Local,462,16.3,0.614,2.6,1.5964,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.26,0.275,5.8,,
53,PM Peak,Local,362,16.3,0.702,5.314,3.730428,4,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.26,0.275,5.8,,
53,Evening,Local,129,16.3,0.57,2.156,1.22892,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.26,0.275,5.8,,
53,Night,Local,84,16.3,0.523,0.7,0.3661,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.26,0.275,5.8,,
54,Early AM,Cancelled ,0,,,,,,,,,,,,,,,,,,
54,AM Peak,Cancelled ,18,,,,,,,,,,,,,,,,,,
54,Midday,Cancelled ,22,,,,,,,,,,,,,,,,,,
54,PM Peak,Cancelled ,12,,,,,,,,,,,,,,,,,,
54,Evening,Cancelled ,4,,,,,,,,,,,,,,,,,,
54,Night,Cancelled ,1,,,,,,,,,,,,,,,,,,
55,Early AM,Cancelled ,61,,,,,,,,,,,,,,,,,,
55,AM Peak,Cancelled ,835,,,,,,,,,,,,,,,,,,
55,Midday,Cancelled ,1410,,,,,,,,,,,,,,,,,,
55,PM Peak,Cancelled ,740,,,,,,,,,,,,,,,,,,
55,Evening,Cancelled ,250,,,,,,,,,,,,,,,,,,
55,Night,Cancelled ,62,,,,,,,,,,,,,,,,,,
56,Early AM,Local,19,12.3,0.45,0.571,0.25695,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.46,0.275,5.8,,
56,AM Peak,Local,391,12.3,0.525,5.96,3.129,4,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.46,0.275,5.8,,
56,Midday,Local,213,12.3,0.307,2.517,0.772719,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.46,0.275,5.8,,
56,PM Peak,Local,319,12.3,0.592,5.228,3.094976,4,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.46,0.275,5.8,,
56,Evening,Local,21,12.3,0.154,2.222,0.342188,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.46,0.275,5.8,,
56,Night,Local,10,12.3,0.101,1.175,0.118675,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.46,0.275,5.8,,
57,Early AM,Frequent ,126,25.9,0.622,1.372,0.853384,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.18,0.275,5.8,,
57,AM Peak,Frequent ,623,25.9,0.904,3.44,3.10976,4,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.18,0.275,5.8,,
57,Midday,Frequent ,979,25.9,0.908,2.25,2.043,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.18,0.275,5.8,,
57,PM Peak,Frequent ,903,25.9,0.961,3.486,3.350046,4,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.18,0.275,5.8,,
57,Evening,Frequent ,386,25.9,0.785,2.333,1.831405,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.18,0.275,5.8,,
57,Night,Frequent ,278,25.9,0.628,1.875,1.1775,2,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.18,0.275,5.8,,
58,Early AM,Local,2,19.2,0.417,0.286,0.119262,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.84,0.275,5.8,,
58,AM Peak,Local,254,19.2,0.567,2.4,1.3608,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.84,0.275,5.8,,
58,Midday,Local,335,19.2,0.729,2.483,1.810107,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.84,0.275,5.8,,
58,PM Peak,Local,267,19.2,0.51,2.886,1.47186,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.84,0.275,5.8,,
58,Evening,Local,107,19.2,0.244,1.889,0.460916,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.84,0.275,5.8,,
58,Night,Local,40,19.2,0.208,0.25,0.052,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.84,0.275,5.8,,
61,Early AM,Frequent,110,43.8,1.027,1.714,1.760278,2,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,8.76,0.275,5.8,,
61,AM Peak,Frequent,691,43.8,1.063,3.96,4.20948,5,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,8.76,0.275,5.8,,
61,Midday,Frequent,1051,43.8,0.982,3.917,3.846494,4,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,8.76,0.275,5.8,,
61,PM Peak,Frequent,844,43.8,1.04,5.4,5.616,6,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,8.76,0.275,5.8,,
61,Evening,Frequent,315,43.8,1.059,2.378,2.518302,3,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,8.76,0.275,5.8,,
61,Night,Frequent,202,43.8,0.955,2.25,2.14875,3,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,8.76,0.275,5.8,,
62,Early AM,Frequent,0,38,1.023,0.571,0.584133,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,7.6,0.275,5.8,,
62,AM Peak,Frequent,388,38,1.086,2.6,2.8236,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,7.6,0.275,5.8,,
62,Midday,Frequent,843,38,1.116,2.5,2.79,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,7.6,0.275,5.8,,
62,PM Peak,Frequent,551,38,1.202,3.114,3.743028,4,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,7.6,0.275,5.8,,
62,Evening,Frequent,242,38,1.039,2.244,2.331516,3,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,7.6,0.275,5.8,,
62,Night,Frequent,130,38,1.063,0.625,0.664375,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,7.6,0.275,5.8,,
63,Early AM,Frequent,90,34.1,0.92,1.457,1.34044,2,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.82,0.275,5.8,,
63,AM Peak,Frequent,500,34.1,1.048,4.84,5.07232,6,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.82,0.275,5.8,,
63,Midday,Frequent,524,34.1,0.98,2.467,2.41766,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.82,0.275,5.8,,
63,PM Peak,Frequent,598,34.1,1.037,4.829,5.007673,6,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.82,0.275,5.8,,
63,Evening,Frequent,191,34.1,0.969,2.467,2.390523,3,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.82,0.275,5.8,,
63,Night,Frequent,78,34.1,0.955,0.675,0.644625,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.82,0.275,5.8,,
64,Early AM,Cancelled ,34,,,,,,,,,,,,,,,,,,
64,AM Peak,Cancelled ,404,,,,,,,,,,,,,,,,,,
64,Midday,Cancelled ,420,,,,,,,,,,,,,,,,,,
64,PM Peak,Cancelled ,367,,,,,,,,,,,,,,,,,,
64,Evening,Cancelled ,156,,,,,,,,,,,,,,,,,,
64,Night,Cancelled ,54,,,,,,,,,,,,,,,,,,
66,Early AM,Local,28,26.3,0.792,0.571,0.452232,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.26,0.275,5.8,,
66,AM Peak,Local,210,26.3,0.783,2.96,2.31768,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.26,0.275,5.8,,
66,Midday,Local,50,26.3,0.733,0.25,0.18325,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.26,0.275,5.8,,
66,PM Peak,Local,208,26.3,0.737,3.6,2.6532,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.26,0.275,5.8,,
66,Evening,Local,14,26.3,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.26,0.275,5.8,,
66,Night,Local,0,26.3,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.26,0.275,5.8,,
67,Early AM,Local,14,29.9,0.875,0.628,0.5495,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.98,0.275,5.8,,
67,AM Peak,Local,181,29.9,0.558,3.16,1.76328,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.98,0.275,5.8,,
67,Midday,Local,115,29.9,0.331,2.466,0.816246,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.98,0.275,5.8,,
67,PM Peak,Local,124,29.9,0.553,3,1.659,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.98,0.275,5.8,,
67,Evening,Local,30,29.9,0.378,1.155,0.43659,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.98,0.275,5.8,,
67,Night,Local,0,29.9,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.98,0.275,5.8,,
73,Early AM,Local,38,30.8,0.583,0.714,0.416262,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.16,0.275,5.8,,
73,AM Peak,Local,103,30.8,0.682,2.44,1.66408,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.16,0.275,5.8,,
73,Midday,Local,41,30.8,0.336,1.917,0.644112,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.16,0.275,5.8,,
73,PM Peak,Local,168,30.8,0.684,2.086,1.426824,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.16,0.275,5.8,,
73,Evening,Local,43,30.8,0.299,1.667,0.498433,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.16,0.275,5.8,,
73,Night,Local,0,30.8,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.16,0.275,5.8,,
74,Early AM,Frequent,39,25.7,0.727,0.714,0.519078,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.14,0.275,5.8,,
74,AM Peak,Frequent,601,25.7,0.918,4.52,4.14936,5,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.14,0.275,5.8,,
74,Midday,Frequent,1755,25.7,0.893,4.483,4.003319,5,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.14,0.275,5.8,,
74,PM Peak,Frequent,895,25.7,0.947,6.2,5.8714,6,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,5.14,0.275,5.8,,
74,Evening,Frequent,507,25.7,0.733,1.978,1.449874,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,5.14,0.275,5.8,,
74,Night,Frequent,130,25.7,0.312,0.525,0.1638,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,5.14,0.275,5.8,,
75,Early AM,Frequent,308,34.2,0.849,2.8,2.3772,3,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.84,0.275,5.8,,
75,AM Peak,Frequent,1541,34.2,0.848,7.48,6.34304,7,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.84,0.275,5.8,,
75,Midday,Frequent,2521,34.2,0.899,4.916,4.419484,5,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.84,0.275,5.8,,
75,PM Peak,Frequent,2291,34.2,0.874,9.086,7.941164,8,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.84,0.275,5.8,,
75,Evening,Frequent,924,34.2,0.797,4.356,3.471732,4,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.84,0.275,5.8,,
75,Night,Frequent,487,34.2,0.854,2.4,2.0496,3,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.84,0.275,5.8,,
80,Early AM,Frequent,194,21.7,0.679,1.571,1.066709,2,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.34,0.275,5.8,,
80,AM Peak,Frequent,1041,21.7,0.922,4.8,4.4256,5,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.34,0.275,5.8,,
80,Midday,Frequent,2035,21.7,0.908,4.9,4.4492,5,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.34,0.275,5.8,,
80,PM Peak,Frequent,1163,21.7,1.048,5.314,5.569072,6,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.34,0.275,5.8,,
80,Evening,Frequent,492,21.7,0.903,2.555,2.307165,3,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.34,0.275,5.8,,
80,Night,Frequent,194,21.7,0.825,0.5,0.4125,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.34,0.275,5.8,,
81,Early AM,Local,0,20.4,0.883,0.429,0.378807,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.08,0.275,5.8,,
81,AM Peak,Local,148,20.4,0.893,2.96,2.64328,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.08,0.275,5.8,,
81,Midday,Local,300,20.4,0.883,2.483,2.192489,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.08,0.275,5.8,,
81,PM Peak,Local,208,20.4,1.013,2.857,2.894141,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.08,0.275,5.8,,
81,Evening,Local,100,20.4,0.833,2.067,1.721811,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.08,0.275,5.8,,
81,Night,Local,4,20.4,0.799,0.4,0.3196,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.08,0.275,5.8,,
82,Early AM,Local,78,24.2,0.73,0.714,0.52122,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.84,0.275,5.8,,
82,AM Peak,Local,504,24.2,0.751,3.2,2.4032,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.84,0.275,5.8,,
82,Midday,Local,628,24.2,0.664,2.633,1.748312,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.84,0.275,5.8,,
82,PM Peak,Local,597,24.2,0.791,3.6,2.8476,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.84,0.275,5.8,,
82,Evening,Local,216,24.2,0.61,2.111,1.28771,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.84,0.275,5.8,,
82,Night,Local,119,24.2,0.513,0.275,0.141075,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.84,0.275,5.8,,
83,Early AM,Cancelled ,16,,,,,,,,,,,,,,,,,,
83,AM Peak,Cancelled ,187,,,,,,,,,,,,,,,,,,
83,Midday,Cancelled ,260,,,,,,,,,,,,,,,,,,
83,PM Peak,Cancelled ,167,,,,,,,,,,,,,,,,,,
83,Evening,Cancelled ,58,,,,,,,,,,,,,,,,,,
83,Night,Cancelled ,13,,,,,,,,,,,,,,,,,,
84,Early AM,Local,3,2.8,0.108,0.286,0.030888,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,0.56,0.275,5.8,,
84,AM Peak,Local,42,2.8,0.142,0.8,0.1136,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,0.56,0.275,5.8,,
84,Midday,Local,21,2.8,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,0.56,0.275,5.8,,
84,PM Peak,Local,30,2.8,0.133,0.857,0.113981,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,0.56,0.275,5.8,,
84,Evening,Local,9,2.8,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,0.56,0.275,5.8,,
84,Night,Local,1,2.8,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,0.56,0.275,5.8,,
85,Early AM,Frequent ,306,18.5,0.829,1.943,1.610747,2,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.7,0.275,5.8,,
85,AM Peak,Frequent ,1369,18.5,1.013,5.36,5.42968,6,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.7,0.275,5.8,,
85,Midday,Frequent ,2870,18.5,1.026,5.067,5.198742,6,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.7,0.275,5.8,,
85,PM Peak,Frequent ,1822,18.5,1.111,5.457,6.062727,7,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.7,0.275,5.8,,
85,Evening,Frequent ,664,18.5,0.872,2.4,2.0928,3,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.7,0.275,5.8,,
85,Night,Frequent ,273,18.5,0.755,0.975,0.736125,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.7,0.275,5.8,,
86,Early AM,Local ,69,11.6,0.436,1.057,0.460852,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.32,0.275,5.8,,
86,AM Peak,Local ,544,11.6,0.477,5,2.385,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.32,0.275,5.8,,
86,Midday,Local ,745,11.6,0.524,2.667,1.397508,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.32,0.275,5.8,,
86,PM Peak,Local ,666,11.6,0.508,5.428,2.757424,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.32,0.275,5.8,,
86,Evening,Local ,267,11.6,0.492,2.222,1.093224,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.32,0.275,5.8,,
86,Night,Local ,134,11.6,0.472,0.4,0.1888,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.32,0.275,5.8,,
87,Early AM,Frequent ,9,9.3,0.25,0.429,0.10725,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.86,0.275,5.8,,
87,AM Peak,Frequent ,262,9.3,0.399,4.64,1.85136,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.86,0.275,5.8,,
87,Midday,Frequent ,644,9.3,0.48,4.366,2.09568,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.86,0.275,5.8,,
87,PM Peak,Frequent ,431,9.3,0.541,5.228,2.828348,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.86,0.275,5.8,,
